PROGRAM_LABEL,NAME,CODE,TOTAL_UNITS
S8 NC/SR,MD SOMERSET COUNTY,24039,36
S236,MD SOMERSET COUNTY,24039,0
MF/Other,MD SOMERSET COUNTY,24039,150
PH,MD TALBOT COUNTY,24041,136
VO,MD TALBOT COUNTY,24041,-1
MR,MD TALBOT COUNTY,24041,-1
All HUD,MD TALBOT COUNTY,24041,-1
S8 NC/SR,MD TALBOT COUNTY,24041,33
S236,MD TALBOT COUNTY,24041,0
MF/Other,MD TALBOT COUNTY,24041,0
PH,MD WASHINGTON COUNTY,24043,1115
VO,MD WASHINGTON COUNTY,24043,-1
MR,MD WASHINGTON COUNTY,24043,-1
All HUD,MD WASHINGTON COUNTY,24043,-1
S236,MD WASHINGTON COUNTY,24043,100
MF/Other,MD WASHINGTON COUNTY,24043,94
S8 NC/SR,MD WASHINGTON COUNTY,24043,675
PH,MD WICOMICO COUNTY,24045,277
VO,MD WICOMICO COUNTY,24045,-1
MR,MD WICOMICO COUNTY,24045,-1
All HUD,MD WICOMICO COUNTY,24045,-1
S236,MD WICOMICO COUNTY,24045,0
MF/Other,MD WICOMICO COUNTY,24045,409
S8 NC/SR,MD WICOMICO COUNTY,24045,388
PH,MD WORCESTER COUNTY,24047,0
VO,MD WORCESTER COUNTY,24047,-1
MR,MD WORCESTER COUNTY,24047,-1
All HUD,MD WORCESTER COUNTY,24047,-1
S8 NC/SR,MD WORCESTER COUNTY,24047,228
S236,MD WORCESTER COUNTY,24047,0
MF/Other,MD WORCESTER COUNTY,24047,0
PH,MD BALTIMORE CITY,24510,13657
VO,MD BALTIMORE CITY,24510,-1
MR,MD BALTIMORE CITY,24510,-1
All HUD,MD BALTIMORE CITY,24510,-1
S8 NC/SR,MD BALTIMORE CITY,24510,5457
S236,MD BALTIMORE CITY,24510,1657
MF/Other,MD BALTIMORE CITY,24510,6664
PH,MD NO COUNTY CODE,24999,0
VO,MD NO COUNTY CODE,24999,-1
MR,MD NO COUNTY CODE,24999,-1
All HUD,MD NO COUNTY CODE,24999,-1
S8 NC/SR,MD NO COUNTY CODE,24999,0
S236,MD NO COUNTY CODE,24999,0
MF/Other,MD NO COUNTY CODE,24999,0
PH,MA BARNSTABLE COUNTY,25001,287
VO,MA BARNSTABLE COUNTY,25001,-1
MR,MA BARNSTABLE COUNTY,25001,-1
All HUD,MA BARNSTABLE COUNTY,25001,-1
S236,MA BARNSTABLE COUNTY,25001,108
S8 NC/SR,MA BARNSTABLE COUNTY,25001,706
MF/Other,MA BARNSTABLE COUNTY,25001,480
PH,MA BERKSHIRE COUNTY,25003,470
VO,MA BERKSHIRE COUNTY,25003,-1
MR,MA BERKSHIRE COUNTY,25003,-1
All HUD,MA BERKSHIRE COUNTY,25003,-1
S236,MA BERKSHIRE COUNTY,25003,60
MF/Other,MA BERKSHIRE COUNTY,25003,606
S8 NC/SR,MA BERKSHIRE COUNTY,25003,888
PH,MA BRISTOL COUNTY,25005,3534
VO,MA BRISTOL COUNTY,25005,-1
MR,MA BRISTOL COUNTY,25005,-1
All HUD,MA BRISTOL COUNTY,25005,-1
S8 NC/SR,MA BRISTOL COUNTY,25005,2793
S236,MA BRISTOL COUNTY,25005,592
MF/Other,MA BRISTOL COUNTY,25005,1059
PH,MA DUKES COUNTY,25007,0
VO,MA DUKES COUNTY,25007,-1
MR,MA DUKES COUNTY,25007,-1
All HUD,MA DUKES COUNTY,25007,-1
S8 NC/SR,MA DUKES COUNTY,25007,5
S236,MA DUKES COUNTY,25007,0
MF/Other,MA DUKES COUNTY,25007,87
PH,MA ESSEX COUNTY,25009,2231
VO,MA ESSEX COUNTY,25009,-1
MR,MA ESSEX COUNTY,25009,-1
All HUD,MA ESSEX COUNTY,25009,-1
S8 NC/SR,MA ESSEX COUNTY,25009,4931
S236,MA ESSEX COUNTY,25009,525
MF/Other,MA ESSEX COUNTY,25009,2736
PH,MA FRANKLIN COUNTY,25011,0
VO,MA FRANKLIN COUNTY,25011,-1
MR,MA FRANKLIN COUNTY,25011,-1
All HUD,MA FRANKLIN COUNTY,25011,-1
S236,MA FRANKLIN COUNTY,25011,516
MF/Other,MA FRANKLIN COUNTY,25011,4
S8 NC/SR,MA FRANKLIN COUNTY,25011,420
PH,MA HAMPDEN COUNTY,25013,2414
VO,MA HAMPDEN COUNTY,25013,-1
MR,MA HAMPDEN COUNTY,25013,-1
All HUD,MA HAMPDEN COUNTY,25013,-1
S236,MA HAMPDEN COUNTY,25013,1920
MF/Other,MA HAMPDEN COUNTY,25013,3961
S8 NC/SR,MA HAMPDEN COUNTY,25013,3677
PH,MA HAMPSHIRE COUNTY,25015,124
VO,MA HAMPSHIRE COUNTY,25015,-1
MR,MA HAMPSHIRE COUNTY,25015,-1
All HUD,MA HAMPSHIRE COUNTY,25015,-1
S8 NC/SR,MA HAMPSHIRE COUNTY,25015,387
S236,MA HAMPSHIRE COUNTY,25015,0
MF/Other,MA HAMPSHIRE COUNTY,25015,563
PH,MA MIDDLESEX COUNTY,25017,6762
VO,MA MIDDLESEX COUNTY,25017,-1
MR,MA MIDDLESEX COUNTY,25017,-1
All HUD,MA MIDDLESEX COUNTY,25017,-1
S8 NC/SR,MA MIDDLESEX COUNTY,25017,5725
S236,MA MIDDLESEX COUNTY,25017,1011
MF/Other,MA MIDDLESEX COUNTY,25017,4461
PH,MA NANTUCKET COUNTY,25019,0
VO,MA NANTUCKET COUNTY,25019,-1
MR,MA NANTUCKET COUNTY,25019,-1
All HUD,MA NANTUCKET COUNTY,25019,-1
S8 NC/SR,MA NANTUCKET COUNTY,25019,0
S236,MA NANTUCKET COUNTY,25019,0
MF/Other,MA NANTUCKET COUNTY,25019,8
PH,MA NORFOLK COUNTY,25021,1495
VO,MA NORFOLK COUNTY,25021,-1
MR,MA NORFOLK COUNTY,25021,-1
All HUD,MA NORFOLK COUNTY,25021,-1
S236,MA NORFOLK COUNTY,25021,659
S8 NC/SR,MA NORFOLK COUNTY,25021,2277
MF/Other,MA NORFOLK COUNTY,25021,1705
PH,MA PLYMOUTH COUNTY,25023,1513
VO,MA PLYMOUTH COUNTY,25023,-1
MR,MA PLYMOUTH COUNTY,25023,-1
All HUD,MA PLYMOUTH COUNTY,25023,-1
S236,MA PLYMOUTH COUNTY,25023,58
MF/Other,MA PLYMOUTH COUNTY,25023,2152
S8 NC/SR,MA PLYMOUTH COUNTY,25023,1588
PH,MA SUFFOLK COUNTY,25025,11779
VO,MA SUFFOLK COUNTY,25025,-1
MR,MA SUFFOLK COUNTY,25025,-1
All HUD,MA SUFFOLK COUNTY,25025,-1
S8 NC/SR,MA SUFFOLK COUNTY,25025,11685
S236,MA SUFFOLK COUNTY,25025,2009
MF/Other,MA SUFFOLK COUNTY,25025,15362
PH,MA WORCESTER COUNTY,25027,2630
VO,MA WORCESTER COUNTY,25027,-1
MR,MA WORCESTER COUNTY,25027,-1
All HUD,MA WORCESTER COUNTY,25027,-1
S236,MA WORCESTER COUNTY,25027,852
MF/Other,MA WORCESTER COUNTY,25027,4265
S8 NC/SR,MA WORCESTER COUNTY,25027,3929
PH,MA NO COUNTY CODE,25999,0
VO,MA NO COUNTY CODE,25999,-1
MR,MA NO COUNTY CODE,25999,-1
All HUD,MA NO COUNTY CODE,25999,-1
S236,MA NO COUNTY CODE,25999,0
MF/Other,MA NO COUNTY CODE,25999,0
S8 NC/SR,MA NO COUNTY CODE,25999,0
PH,MI ALCONA COUNTY,26001,0
VO,MI ALCONA COUNTY,26001,-1
MR,MI ALCONA COUNTY,26001,-1
All HUD,MI ALCONA COUNTY,26001,-1
MF/Other,MI ALCONA COUNTY,26001,0
S8 NC/SR,MI ALCONA COUNTY,26001,32
S236,MI ALCONA COUNTY,26001,0
PH,MI ALGER COUNTY,26003,74
VO,MI ALGER COUNTY,26003,-1
MR,MI ALGER COUNTY,26003,-1
All HUD,MI ALGER COUNTY,26003,-1
MF/Other,MI ALGER COUNTY,26003,15
S8 NC/SR,MI ALGER COUNTY,26003,0
S236,MI ALGER COUNTY,26003,0
PH,MI ALLEGAN COUNTY,26005,0
VO,MI ALLEGAN COUNTY,26005,-1
MR,MI ALLEGAN COUNTY,26005,-1
All HUD,MI ALLEGAN COUNTY,26005,-1
S8 NC/SR,MI ALLEGAN COUNTY,26005,194
S236,MI ALLEGAN COUNTY,26005,120
MF/Other,MI ALLEGAN COUNTY,26005,118
VO,MI ALPENA COUNTY,26007,-1
PH,MI ALPENA COUNTY,26007,195
MR,MI ALPENA COUNTY,26007,-1
All HUD,MI ALPENA COUNTY,26007,-1
S8 NC/SR,MI ALPENA COUNTY,26007,282
S236,MI ALPENA COUNTY,26007,0
MF/Other,MI ALPENA COUNTY,26007,0
VO,MI ANTRIM COUNTY,26009,-1
PH,MI ANTRIM COUNTY,26009,20
MR,MI ANTRIM COUNTY,26009,-1
All HUD,MI ANTRIM COUNTY,26009,-1
S8 NC/SR,MI ANTRIM COUNTY,26009,0
S236,MI ANTRIM COUNTY,26009,0
MF/Other,MI ANTRIM COUNTY,26009,0
VO,MI ARENAC COUNTY,26011,-1
PH,MI ARENAC COUNTY,26011,0
MR,MI ARENAC COUNTY,26011,-1
All HUD,MI ARENAC COUNTY,26011,-1
S8 NC/SR,MI ARENAC COUNTY,26011,56
S236,MI ARENAC COUNTY,26011,0
MF/Other,MI ARENAC COUNTY,26011,0
PH,MI BARAGA COUNTY,26013,84
VO,MI BARAGA COUNTY,26013,-1
MR,MI BARAGA COUNTY,26013,-1
All HUD,MI BARAGA COUNTY,26013,-1
MF/Other,MI BARAGA COUNTY,26013,0
S236,MI BARAGA COUNTY,26013,0
S8 NC/SR,MI BARAGA COUNTY,26013,0
PH,MI BARRY COUNTY,26015,50
VO,MI BARRY COUNTY,26015,-1
MR,MI BARRY COUNTY,26015,-1
All HUD,MI BARRY COUNTY,26015,-1
S8 NC/SR,MI BARRY COUNTY,26015,60
S236,MI BARRY COUNTY,26015,0
MF/Other,MI BARRY COUNTY,26015,22
PH,MI BAY COUNTY,26017,659
VO,MI BAY COUNTY,26017,-1
MR,MI BAY COUNTY,26017,-1
All HUD,MI BAY COUNTY,26017,-1
S8 NC/SR,MI BAY COUNTY,26017,488
S236,MI BAY COUNTY,26017,229
MF/Other,MI BAY COUNTY,26017,290
PH,MI BENZIE COUNTY,26019,0
VO,MI BENZIE COUNTY,26019,-1
MR,MI BENZIE COUNTY,26019,-1
All HUD,MI BENZIE COUNTY,26019,-1
S8 NC/SR,MI BENZIE COUNTY,26019,56
S236,MI BENZIE COUNTY,26019,0
MF/Other,MI BENZIE COUNTY,26019,0
PH,MI BERRIEN COUNTY,26021,958
VO,MI BERRIEN COUNTY,26021,-1
MR,MI BERRIEN COUNTY,26021,-1
All HUD,MI BERRIEN COUNTY,26021,-1
S8 NC/SR,MI BERRIEN COUNTY,26021,938
S236,MI BERRIEN COUNTY,26021,280
MF/Other,MI BERRIEN COUNTY,26021,617
PH,MI BRANCH COUNTY,26023,150
VO,MI BRANCH COUNTY,26023,-1
MR,MI BRANCH COUNTY,26023,-1
All HUD,MI BRANCH COUNTY,26023,-1
S236,MI BRANCH COUNTY,26023,100
MF/Other,MI BRANCH COUNTY,26023,18
S8 NC/SR,MI BRANCH COUNTY,26023,38
PH,MI CALHOUN COUNTY,26025,615
VO,MI CALHOUN COUNTY,26025,-1
MR,MI CALHOUN COUNTY,26025,-1
All HUD,MI CALHOUN COUNTY,26025,-1
S236,MI CALHOUN COUNTY,26025,380
MF/Other,MI CALHOUN COUNTY,26025,322
S8 NC/SR,MI CALHOUN COUNTY,26025,737
PH,MI CASS COUNTY,26027,86
VO,MI CASS COUNTY,26027,-1
MR,MI CASS COUNTY,26027,-1
All HUD,MI CASS COUNTY,26027,-1
S8 NC/SR,MI CASS COUNTY,26027,206
S236,MI CASS COUNTY,26027,88
MF/Other,MI CASS COUNTY,26027,0
PH,MI CHARLEVOIX COUNTY,26029,170
VO,MI CHARLEVOIX COUNTY,26029,-1
MR,MI CHARLEVOIX COUNTY,26029,-1
All HUD,MI CHARLEVOIX COUNTY,26029,-1
S8 NC/SR,MI CHARLEVOIX COUNTY,26029,0
S236,MI CHARLEVOIX COUNTY,26029,0
MF/Other,MI CHARLEVOIX COUNTY,26029,0
PH,MI CHEBOYGAN COUNTY,26031,38
VO,MI CHEBOYGAN COUNTY,26031,-1
MR,MI CHEBOYGAN COUNTY,26031,-1
All HUD,MI CHEBOYGAN COUNTY,26031,-1
S8 NC/SR,MI CHEBOYGAN COUNTY,26031,72
S236,MI CHEBOYGAN COUNTY,26031,0
MF/Other,MI CHEBOYGAN COUNTY,26031,0
PH,MI CHIPPEWA COUNTY,26033,260
VO,MI CHIPPEWA COUNTY,26033,-1
MR,MI CHIPPEWA COUNTY,26033,-1
All HUD,MI CHIPPEWA COUNTY,26033,-1
MF/Other,MI CHIPPEWA COUNTY,26033,100
S236,MI CHIPPEWA COUNTY,26033,0
S8 NC/SR,MI CHIPPEWA COUNTY,26033,104
PH,MI CLARE COUNTY,26035,0
VO,MI CLARE COUNTY,26035,-1
MR,MI CLARE COUNTY,26035,-1
All HUD,MI CLARE COUNTY,26035,-1
S8 NC/SR,MI CLARE COUNTY,26035,221
S236,MI CLARE COUNTY,26035,0
MF/Other,MI CLARE COUNTY,26035,0
PH,MI CLINTON COUNTY,26037,30
VO,MI CLINTON COUNTY,26037,-1
MR,MI CLINTON COUNTY,26037,-1
All HUD,MI CLINTON COUNTY,26037,-1
S8 NC/SR,MI CLINTON COUNTY,26037,299
S236,MI CLINTON COUNTY,26037,0
MF/Other,MI CLINTON COUNTY,26037,0
PH,MI CRAWFORD COUNTY,26039,88
VO,MI CRAWFORD COUNTY,26039,-1
MR,MI CRAWFORD COUNTY,26039,-1
All HUD,MI CRAWFORD COUNTY,26039,-1
S8 NC/SR,MI CRAWFORD COUNTY,26039,32
S236,MI CRAWFORD COUNTY,26039,0
MF/Other,MI CRAWFORD COUNTY,26039,0
PH,MI DELTA COUNTY,26041,301
VO,MI DELTA COUNTY,26041,-1
MR,MI DELTA COUNTY,26041,-1
All HUD,MI DELTA COUNTY,26041,-1
S8 NC/SR,MI DELTA COUNTY,26041,224
S236,MI DELTA COUNTY,26041,0
MF/Other,MI DELTA COUNTY,26041,0
PH,MI DICKINSON COUNTY,26043,171
VO,MI DICKINSON COUNTY,26043,-1
MR,MI DICKINSON COUNTY,26043,-1
All HUD,MI DICKINSON COUNTY,26043,-1
S236,MI DICKINSON COUNTY,26043,0
MF/Other,MI DICKINSON COUNTY,26043,0
S8 NC/SR,MI DICKINSON COUNTY,26043,44
PH,MI EATON COUNTY,26045,24
VO,MI EATON COUNTY,26045,-1
MR,MI EATON COUNTY,26045,-1
All HUD,MI EATON COUNTY,26045,-1
S236,MI EATON COUNTY,26045,0
MF/Other,MI EATON COUNTY,26045,7
S8 NC/SR,MI EATON COUNTY,26045,551
PH,MI EMMET COUNTY,26047,0
VO,MI EMMET COUNTY,26047,-1
MR,MI EMMET COUNTY,26047,-1
All HUD,MI EMMET COUNTY,26047,-1
S8 NC/SR,MI EMMET COUNTY,26047,174
S236,MI EMMET COUNTY,26047,0
MF/Other,MI EMMET COUNTY,26047,16
PH,MI GENESEE COUNTY,26049,1248
VO,MI GENESEE COUNTY,26049,-1
MR,MI GENESEE COUNTY,26049,-1
All HUD,MI GENESEE COUNTY,26049,-1
S8 NC/SR,MI GENESEE COUNTY,26049,1858
S236,MI GENESEE COUNTY,26049,556
MF/Other,MI GENESEE COUNTY,26049,976
PH,MI GLADWIN COUNTY,26051,70
VO,MI GLADWIN COUNTY,26051,-1
MR,MI GLADWIN COUNTY,26051,-1
All HUD,MI GLADWIN COUNTY,26051,-1
S8 NC/SR,MI GLADWIN COUNTY,26051,172
S236,MI GLADWIN COUNTY,26051,0
MF/Other,MI GLADWIN COUNTY,26051,0
PH,MI GOGEBIC COUNTY,26053,267
VO,MI GOGEBIC COUNTY,26053,-1
MR,MI GOGEBIC COUNTY,26053,-1
All HUD,MI GOGEBIC COUNTY,26053,-1
S236,MI GOGEBIC COUNTY,26053,0
S8 NC/SR,MI GOGEBIC COUNTY,26053,32
MF/Other,MI GOGEBIC COUNTY,26053,0
PH,MI GRAND TRAVERSE COUNTY,26055,118
VO,MI GRAND TRAVERSE COUNTY,26055,-1
MR,MI GRAND TRAVERSE COUNTY,26055,-1
All HUD,MI GRAND TRAVERSE COUNTY,26055,-1
S236,MI GRAND TRAVERSE COUNTY,26055,122
MF/Other,MI GRAND TRAVERSE COUNTY,26055,0
S8 NC/SR,MI GRAND TRAVERSE COUNTY,26055,126
PH,MI GRATIOT COUNTY,26057,174
VO,MI GRATIOT COUNTY,26057,-1
MR,MI GRATIOT COUNTY,26057,-1
All HUD,MI GRATIOT COUNTY,26057,-1
S8 NC/SR,MI GRATIOT COUNTY,26057,213
S236,MI GRATIOT COUNTY,26057,0
MF/Other,MI GRATIOT COUNTY,26057,0
PH,MI HILLSDALE COUNTY,26059,60
VO,MI HILLSDALE COUNTY,26059,-1
MR,MI HILLSDALE COUNTY,26059,-1
All HUD,MI HILLSDALE COUNTY,26059,-1
S8 NC/SR,MI HILLSDALE COUNTY,26059,274
S236,MI HILLSDALE COUNTY,26059,88
MF/Other,MI HILLSDALE COUNTY,26059,48
PH,MI HOUGHTON COUNTY,26061,366
VO,MI HOUGHTON COUNTY,26061,-1
MR,MI HOUGHTON COUNTY,26061,-1
All HUD,MI HOUGHTON COUNTY,26061,-1
S8 NC/SR,MI HOUGHTON COUNTY,26061,175
S236,MI HOUGHTON COUNTY,26061,0
MF/Other,MI HOUGHTON COUNTY,26061,0
PH,MI HURON COUNTY,26063,47
VO,MI HURON COUNTY,26063,-1
MR,MI HURON COUNTY,26063,-1
All HUD,MI HURON COUNTY,26063,-1
S236,MI HURON COUNTY,26063,0
MF/Other,MI HURON COUNTY,26063,0
S8 NC/SR,MI HURON COUNTY,26063,180
PH,MI INGHAM COUNTY,26065,922
VO,MI INGHAM COUNTY,26065,-1
MR,MI INGHAM COUNTY,26065,-1
All HUD,MI INGHAM COUNTY,26065,-1
S236,MI INGHAM COUNTY,26065,253
MF/Other,MI INGHAM COUNTY,26065,1271
S8 NC/SR,MI INGHAM COUNTY,26065,2032
PH,MI IONIA COUNTY,26067,339
VO,MI IONIA COUNTY,26067,-1
MR,MI IONIA COUNTY,26067,-1
All HUD,MI IONIA COUNTY,26067,-1
S8 NC/SR,MI IONIA COUNTY,26067,227
S236,MI IONIA COUNTY,26067,50
MF/Other,MI IONIA COUNTY,26067,0
PH,MI IOSCO COUNTY,26069,41
VO,MI IOSCO COUNTY,26069,-1
MR,MI IOSCO COUNTY,26069,-1
All HUD,MI IOSCO COUNTY,26069,-1
S8 NC/SR,MI IOSCO COUNTY,26069,92
S236,MI IOSCO COUNTY,26069,0
MF/Other,MI IOSCO COUNTY,26069,75
PH,MI IRON COUNTY,26071,192
VO,MI IRON COUNTY,26071,-1
MR,MI IRON COUNTY,26071,-1
All HUD,MI IRON COUNTY,26071,-1
S8 NC/SR,MI IRON COUNTY,26071,47
S236,MI IRON COUNTY,26071,16
MF/Other,MI IRON COUNTY,26071,0
PH,MI ISABELLA COUNTY,26073,123
VO,MI ISABELLA COUNTY,26073,-1
MR,MI ISABELLA COUNTY,26073,-1
All HUD,MI ISABELLA COUNTY,26073,-1
MF/Other,MI ISABELLA COUNTY,26073,130
S236,MI ISABELLA COUNTY,26073,202
S8 NC/SR,MI ISABELLA COUNTY,26073,227
PH,MI JACKSON COUNTY,26075,549
VO,MI JACKSON COUNTY,26075,-1
MR,MI JACKSON COUNTY,26075,-1
All HUD,MI JACKSON COUNTY,26075,-1
S8 NC/SR,MI JACKSON COUNTY,26075,945
S236,MI JACKSON COUNTY,26075,81
MF/Other,MI JACKSON COUNTY,26075,187
PH,MI KALAMAZOO COUNTY,26077,0
VO,MI KALAMAZOO COUNTY,26077,-1
MR,MI KALAMAZOO COUNTY,26077,-1
All HUD,MI KALAMAZOO COUNTY,26077,-1
S8 NC/SR,MI KALAMAZOO COUNTY,26077,1864
S236,MI KALAMAZOO COUNTY,26077,582
MF/Other,MI KALAMAZOO COUNTY,26077,1219
PH,MI KALKASKA COUNTY,26079,0
VO,MI KALKASKA COUNTY,26079,-1
MR,MI KALKASKA COUNTY,26079,-1
All HUD,MI KALKASKA COUNTY,26079,-1
S8 NC/SR,MI KALKASKA COUNTY,26079,42
S236,MI KALKASKA COUNTY,26079,0
MF/Other,MI KALKASKA COUNTY,26079,36
PH,MI KENT COUNTY,26081,679
VO,MI KENT COUNTY,26081,-1
MR,MI KENT COUNTY,26081,-1
All HUD,MI KENT COUNTY,26081,-1
S8 NC/SR,MI KENT COUNTY,26081,2496
S236,MI KENT COUNTY,26081,888
MF/Other,MI KENT COUNTY,26081,1670
PH,MI KEWEENAW COUNTY,26083,0
VO,MI KEWEENAW COUNTY,26083,-1
MR,MI KEWEENAW COUNTY,26083,-1
All HUD,MI KEWEENAW COUNTY,26083,-1
S236,MI KEWEENAW COUNTY,26083,0
MF/Other,MI KEWEENAW COUNTY,26083,0
S8 NC/SR,MI KEWEENAW COUNTY,26083,0
PH,MI LAKE COUNTY,26085,86
VO,MI LAKE COUNTY,26085,-1
MR,MI LAKE COUNTY,26085,-1
All HUD,MI LAKE COUNTY,26085,-1
S236,MI LAKE COUNTY,26085,0
MF/Other,MI LAKE COUNTY,26085,0
S8 NC/SR,MI LAKE COUNTY,26085,23
PH,MI LAPEER COUNTY,26087,60
VO,MI LAPEER COUNTY,26087,-1
MR,MI LAPEER COUNTY,26087,-1
All HUD,MI LAPEER COUNTY,26087,-1
S8 NC/SR,MI LAPEER COUNTY,26087,255
S236,MI LAPEER COUNTY,26087,110
MF/Other,MI LAPEER COUNTY,26087,12
PH,MI LEELANAU COUNTY,26089,20
VO,MI LEELANAU COUNTY,26089,-1
MR,MI LEELANAU COUNTY,26089,-1
All HUD,MI LEELANAU COUNTY,26089,-1
S8 NC/SR,MI LEELANAU COUNTY,26089,0
S236,MI LEELANAU COUNTY,26089,0
MF/Other,MI LEELANAU COUNTY,26089,0
PH,MI LENAWEE COUNTY,26091,0
VO,MI LENAWEE COUNTY,26091,-1
MR,MI LENAWEE COUNTY,26091,-1
All HUD,MI LENAWEE COUNTY,26091,-1
S8 NC/SR,MI LENAWEE COUNTY,26091,360
S236,MI LENAWEE COUNTY,26091,130
MF/Other,MI LENAWEE COUNTY,26091,248
PH,MI LIVINGSTON COUNTY,26093,0
VO,MI LIVINGSTON COUNTY,26093,-1
MR,MI LIVINGSTON COUNTY,26093,-1
All HUD,MI LIVINGSTON COUNTY,26093,-1
S236,MI LIVINGSTON COUNTY,26093,0
S8 NC/SR,MI LIVINGSTON COUNTY,26093,110
MF/Other,MI LIVINGSTON COUNTY,26093,0
PH,MI LUCE COUNTY,26095,0
VO,MI LUCE COUNTY,26095,-1
MR,MI LUCE COUNTY,26095,-1
All HUD,MI LUCE COUNTY,26095,-1
S236,MI LUCE COUNTY,26095,0
MF/Other,MI LUCE COUNTY,26095,0
S8 NC/SR,MI LUCE COUNTY,26095,40
PH,MI MACKINAC COUNTY,26097,48
VO,MI MACKINAC COUNTY,26097,-1
MR,MI MACKINAC COUNTY,26097,-1
All HUD,MI MACKINAC COUNTY,26097,-1
S8 NC/SR,MI MACKINAC COUNTY,26097,0
S236,MI MACKINAC COUNTY,26097,0
MF/Other,MI MACKINAC COUNTY,26097,0
PH,MI MACOMB COUNTY,26099,1144
VO,MI MACOMB COUNTY,26099,-1
MR,MI MACOMB COUNTY,26099,-1
All HUD,MI MACOMB COUNTY,26099,-1
S8 NC/SR,MI MACOMB COUNTY,26099,2455
S236,MI MACOMB COUNTY,26099,1335
MF/Other,MI MACOMB COUNTY,26099,4211
PH,MI MANISTEE COUNTY,26101,216
VO,MI MANISTEE COUNTY,26101,-1
MR,MI MANISTEE COUNTY,26101,-1
All HUD,MI MANISTEE COUNTY,26101,-1
S8 NC/SR,MI MANISTEE COUNTY,26101,0
S236,MI MANISTEE COUNTY,26101,0
MF/Other,MI MANISTEE COUNTY,26101,0
PH,MI MARQUETTE COUNTY,26103,460
VO,MI MARQUETTE COUNTY,26103,-1
MR,MI MARQUETTE COUNTY,26103,-1
All HUD,MI MARQUETTE COUNTY,26103,-1
S236,MI MARQUETTE COUNTY,26103,0
MF/Other,MI MARQUETTE COUNTY,26103,104
S8 NC/SR,MI MARQUETTE COUNTY,26103,419
PH,MI MASON COUNTY,26105,0
VO,MI MASON COUNTY,26105,-1
MR,MI MASON COUNTY,26105,-1
All HUD,MI MASON COUNTY,26105,-1
S236,MI MASON COUNTY,26105,80
MF/Other,MI MASON COUNTY,26105,24
S8 NC/SR,MI MASON COUNTY,26105,205
PH,MI MECOSTA COUNTY,26107,287
VO,MI MECOSTA COUNTY,26107,-1
MR,MI MECOSTA COUNTY,26107,-1
All HUD,MI MECOSTA COUNTY,26107,-1
S8 NC/SR,MI MECOSTA COUNTY,26107,96
S236,MI MECOSTA COUNTY,26107,0
MF/Other,MI MECOSTA COUNTY,26107,19
PH,MI MENOMINEE COUNTY,26109,166
VO,MI MENOMINEE COUNTY,26109,-1
MR,MI MENOMINEE COUNTY,26109,-1
All HUD,MI MENOMINEE COUNTY,26109,-1
S8 NC/SR,MI MENOMINEE COUNTY,26109,195
S236,MI MENOMINEE COUNTY,26109,0
MF/Other,MI MENOMINEE COUNTY,26109,18
PH,MI MIDLAND COUNTY,26111,0
VO,MI MIDLAND COUNTY,26111,-1
MR,MI MIDLAND COUNTY,26111,-1
All HUD,MI MIDLAND COUNTY,26111,-1
S8 NC/SR,MI MIDLAND COUNTY,26111,903
S236,MI MIDLAND COUNTY,26111,159
MF/Other,MI MIDLAND COUNTY,26111,0
PH,MI MISSAUKEE COUNTY,26113,0
VO,MI MISSAUKEE COUNTY,26113,-1
MR,MI MISSAUKEE COUNTY,26113,-1
All HUD,MI MISSAUKEE COUNTY,26113,-1
S236,MI MISSAUKEE COUNTY,26113,0
S8 NC/SR,MI MISSAUKEE COUNTY,26113,0
MF/Other,MI MISSAUKEE COUNTY,26113,0
PH,MI MONROE COUNTY,26115,567
VO,MI MONROE COUNTY,26115,-1
MR,MI MONROE COUNTY,26115,-1
All HUD,MI MONROE COUNTY,26115,-1
S236,MI MONROE COUNTY,26115,197
MF/Other,MI MONROE COUNTY,26115,233
S8 NC/SR,MI MONROE COUNTY,26115,424
PH,MI MONTCALM COUNTY,26117,129
VO,MI MONTCALM COUNTY,26117,-1
MR,MI MONTCALM COUNTY,26117,-1
All HUD,MI MONTCALM COUNTY,26117,-1
S8 NC/SR,MI MONTCALM COUNTY,26117,198
S236,MI MONTCALM COUNTY,26117,40
MF/Other,MI MONTCALM COUNTY,26117,0
PH,MI MONTMORENCY COUNTY,26119,0
VO,MI MONTMORENCY COUNTY,26119,-1
MR,MI MONTMORENCY COUNTY,26119,-1
All HUD,MI MONTMORENCY COUNTY,26119,-1
S8 NC/SR,MI MONTMORENCY COUNTY,26119,36
S236,MI MONTMORENCY COUNTY,26119,0
MF/Other,MI MONTMORENCY COUNTY,26119,0
PH,MI MUSKEGON COUNTY,26121,527
VO,MI MUSKEGON COUNTY,26121,-1
MR,MI MUSKEGON COUNTY,26121,-1
All HUD,MI MUSKEGON COUNTY,26121,-1
S8 NC/SR,MI MUSKEGON COUNTY,26121,674
S236,MI MUSKEGON COUNTY,26121,124
MF/Other,MI MUSKEGON COUNTY,26121,753
PH,MI NEWAYGO COUNTY,26123,0
VO,MI NEWAYGO COUNTY,26123,-1
MR,MI NEWAYGO COUNTY,26123,-1
All HUD,MI NEWAYGO COUNTY,26123,-1
S236,MI NEWAYGO COUNTY,26123,0
MF/Other,MI NEWAYGO COUNTY,26123,0
